Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491	13	-63	-1.0	63	1491
14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509	14	-18	-1.0	18	1509
15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583	15	-74	-1.0	74	1583
16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620	16	-37	-1.0	37	1620
17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664	17	-44	-1.0	44	1664
18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702	18	-236	-6.2105263157894735	38	1702
19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789	19	-186	-2.1379310344827585	87	1789
20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811	20	-22	-1.0	22	1811
21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851	21	-40	-1.0	40	1851
22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877	22	-26	-1.0	26	1877
