Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
49	-18	-1.0	18	2558	49	-18	-1.0	18	2558	49	-18	-1.0	18	2558	49	-18	-1.0	18	2558
50	-141	-3.357142857142857	42	2600	50	-141	-3.357142857142857	42	2600	50	-141	-3.357142857142857	42	2600	50	-141	-3.357142857142857	42	2600
51	-117	-6.5	18	2618	51	-117	-6.5	18	2618	51	-117	-6.5	18	2618	51	-117	-6.5	18	2618
52	-15	-1.0	15	2633	52	-15	-1.0	15	2633	52	-15	-1.0	15	2633	52	-15	-1.0	15	2633
53	-23	-1.0	23	2656	53	-23	-1.0	23	2656	53	-23	-1.0	23	2656	53	-23	-1.0	23	2656
54	-13	-1.0	13	2669	54	-13	-1.0	13	2669	54	-13	-1.0	13	2669	54	-13	-1.0	13	2669
55	-14	-1.0	14	2683	55	-14	-1.0	14	2683	55	-14	-1.0	14	2683	55	-14	-1.0	14	2683
56	-13	-1.0	13	2696	56	-13	-1.0	13	2696	56	-13	-1.0	13	2696	56	-13	-1.0	13	2696
57	-117	-6.5	18	2714	57	-117	-6.5	18	2714	57	-117	-6.5	18	2714	57	-117	-6.5	18	2714
58	-13	-1.0	13	2727	58	-13	-1.0	13	2727	58	-13	-1.0	13	2727	58	-13	-1.0	13	2727
59	-126	-4.666666666666667	27	2754	59	-126	-4.666666666666667	27	2754	59	-126	-4.666666666666667	27	2754	59	-126	-4.666666666666667	27	2754
60	-15	-1.0	15	2769	60	-15	-1.0	15	2769	60	-15	-1.0	15	2769	60	-15	-1.0	15	2769
61	-13	-1.0	13	2782	61	-13	-1.0	13	2782	61	-13	-1.0	13	2782	61	-13	-1.0	13	2782
62	-13	-1.0	13	2795	62	-13	-1.0	13	2795	62	-13	-1.0	13	2795	62	-13	-1.0	13	2795
63	-125	-4.8076923076923075	26	2821	63	-125	-4.8076923076923075	26	2821	63	-125	-4.8076923076923075	26	2821	63	-125	-4.8076923076923075	26	2821
64	-19	-1.0	19	2840	64	-19	-1.0	19	2840	64	-19	-1.0	19	2840	64	-19	-1.0	19	2840
65	-126	-4.666666666666667	27	2867	65	-126	-4.666666666666667	27	2867	65	-126	-4.666666666666667	27	2867	65	-126	-4.666666666666667	27	2867
66	-13	-1.0	13	2880	66	-13	-1.0	13	2880	66	-13	-1.0	13	2880	66	-13	-1.0	13	2880
67	-15	-1.0	15	2895	67	-15	-1.0	15	2895	67	-15	-1.0	15	2895	67	-15	-1.0	15	2895
68	-13	-1.0	13	2908	68	-13	-1.0	13	2908	68	-13	-1.0	13	2908	68	-13	-1.0	13	2908
69	-13	-1.0	13	2921	69	-13	-1.0	13	2921	69	-13	-1.0	13	2921	69	-13	-1.0	13	2921
70	-120	-5.714285714285714	21	2942	70	-120	-5.714285714285714	21	2942	70	-120	-5.714285714285714	21	2942	70	-120	-5.714285714285714	21	2942
71	-15	-1.0	15	2957	71	-15	-1.0	15	2957	71	-15	-1.0	15	2957	71	-15	-1.0	15	2957
72	-16	-1.0	16	2973	72	-16	-1.0	16	2973	72	-16	-1.0	16	2973	72	-16	-1.0	16	2973
73	-13	-1.0	13	2986	73	-13	-1.0	13	2986	73	-13	-1.0	13	2986	73	-13	-1.0	13	2986
74	-13	-1.0	13	2999	74	-13	-1.0	13	2999	74	-13	-1.0	13	2999	74	-13	-1.0	13	2999
75	-119	-5.95	20	3019	75	-119	-5.95	20	3019	75	-119	-5.95	20	3019	75	-119	-5.95	20	3019
76	-13	-1.0	13	3032	76	-13	-1.0	13	3032	76	-13	-1.0	13	3032	76	-13	-1.0	13	3032
77	-17	-1.0	17	3049	77	-17	-1.0	17	3049	77	-17	-1.0	17	3049	77	-17	-1.0	17	3049
78	-118	-6.2105263157894735	19	3068	78	-118	-6.2105263157894735	19	3068	78	-118	-6.2105263157894735	19	3068	78	-118	-6.2105263157894735	19	3068
79	-331	-9.735294117647058	34	3102	79	-331	-9.735294117647058	34	3102	79	-331	-9.735294117647058	34	3102	79	-331	-9.735294117647058	34	3102
80	-17	-1.0	17	3119	80	-17	-1.0	17	3119	80	-17	-1.0	17	3119	80	-17	-1.0	17	3119
81	-13	-1.0	13	3132	81	-13	-1.0	13	3132	81	-13	-1.0	13	3132	81	-13	-1.0	13	3132
82	-130	-4.193548387096774	31	3163	82	-130	-4.193548387096774	31	3163	82	-130	-4.193548387096774	31	3163	82	-130	-4.193548387096774	31	3163
83	-13	-1.0	13	3176	83	-13	-1.0	13	3176	83	-13	-1.0	13	3176	83	-13	-1.0	13	3176
84	-14	-1.0	14	3190	84	-14	-1.0	14	3190	84	-14	-1.0	14	3190	84	-14	-1.0	14	3190
85	-15	-1.0	15	3205	85	-15	-1.0	15	3205	85	-15	-1.0	15	3205	85	-15	-1.0	15	3205
86	-119	-5.95	20	3225	86	-119	-5.95	20	3225	86	-119	-5.95	20	3225	86	-119	-5.95	20	3225
87	-227	-7.827586206896552	29	3254	87	-227	-7.827586206896552	29	3254	87	-227	-7.827586206896552	29	3254	87	-227	-7.827586206896552	29	3254
88	-129	-4.3	30	3284	88	-129	-4.3	30	3284	88	-129	-4.3	30	3284	88	-129	-4.3	30	3284
89	-17	-1.0	17	3301	89	-17	-1.0	17	3301	89	-17	-1.0	17	3301	89	-17	-1.0	17	3301
90	-15	-1.0	15	3316	90	-15	-1.0	15	3316	90	-15	-1.0	15	3316	90	-15	-1.0	15	3316
91	-17	-1.0	17	3333	91	-17	-1.0	17	3333	91	-17	-1.0	17	3333	91	-17	-1.0	17	3333
92	-17	-1.0	17	3350	92	-17	-1.0	17	3350	92	-17	-1.0	17	3350	92	-17	-1.0	17	3350
93	-13	-1.0	13	3363	93	-13	-1.0	13	3363	93	-13	-1.0	13	3363	93	-13	-1.0	13	3363
94	-13	-1.0	13	3376	94	-13	-1.0	13	3376	94	-13	-1.0	13	3376	94	-13	-1.0	13	3376
95	-122	-5.304347826086956	23	3399	95	-122	-5.304347826086956	23	3399	95	-122	-5.304347826086956	23	3399	95	-122	-5.304347826086956	23	3399
96	-15	-1.0	15	3414	96	-15	-1.0	15	3414	96	-15	-1.0	15	3414	96	-15	-1.0	15	3414
97	-15	-1.0	15	3429	97	-15	-1.0	15	3429	97	-15	-1.0	15	3429	97	-15	-1.0	15	3429
98	-14	-1.0	14	3443	98	-14	-1.0	14	3443	98	-14	-1.0	14	3443	98	-14	-1.0	14	3443
99	-13	-1.0	13	3456	99	-13	-1.0	13	3456	99	-13	-1.0	13	3456	99	-13	-1.0	13	3456
100	-15	-1.0	15	3471	100	-15	-1.0	15	3471	100	-15	-1.0	15	3471	100	-15	-1.0	15	3471
101	-122	-5.304347826086956	23	3494	101	-122	-5.304347826086956	23	3494	101	-122	-5.304347826086956	23	3494	101	-122	-5.304347826086956	23	3494
102	-13	-1.0	13	3507	102	-13	-1.0	13	3507	102	-13	-1.0	13	3507	102	-13	-1.0	13	3507
103	-13	-1.0	13	3520	103	-13	-1.0	13	3520	103	-13	-1.0	13	3520	103	-13	-1.0	13	3520
104	-13	-1.0	13	3533	104	-13	-1.0	13	3533	104	-13	-1.0	13	3533	104	-13	-1.0	13	3533
105	-19	-1.0	19	3552	105	-19	-1.0	19	3552	105	-19	-1.0	19	3552	105	-19	-1.0	19	3552
106	-17	-1.0	17	3569	106	-17	-1.0	17	3569	106	-17	-1.0	17	3569	106	-17	-1.0	17	3569
107	-13	-1.0	13	3582	107	-13	-1.0	13	3582	107	-13	-1.0	13	3582	107	-13	-1.0	13	3582
108	-17	-1.0	17	3599	108	-17	-1.0	17	3599	108	-17	-1.0	17	3599	108	-17	-1.0	17	3599
109	-26	-1.0	26	3625	109	-26	-1.0	26	3625	109	-26	-1.0	26	3625	109	-26	-1.0	26	3625
110	-14	-1.0	14	3639	110	-14	-1.0	14	3639	110	-14	-1.0	14	3639	110	-14	-1.0	14	3639
111	-15	-1.0	15	3654	111	-15	-1.0	15	3654	111	-15	-1.0	15	3654	111	-15	-1.0	15	3654
112	-13	-1.0	13	3667	112	-13	-1.0	13	3667	112	-13	-1.0	13	3667	112	-13	-1.0	13	3667
113	-13	-1.0	13	3680	113	-13	-1.0	13	3680	113	-13	-1.0	13	3680	113	-13	-1.0	13	3680
114	-15	-1.0	15	3695	114	-15	-1.0	15	3695	114	-15	-1.0	15	3695	114	-15	-1.0	15	3695
115	-17	-1.0	17	3712	115	-17	-1.0	17	3712	115	-17	-1.0	17	3712	115	-17	-1.0	17	3712
116	-13	-1.0	13	3725	116	-13	-1.0	13	3725	116	-13	-1.0	13	3725	116	-13	-1.0	13	3725
117	-15	-1.0	15	3740	117	-15	-1.0	15	3740	117	-15	-1.0	15	3740	117	-15	-1.0	15	3740
118	-13	-1.0	13	3753	118	-13	-1.0	13	3753	118	-13	-1.0	13	3753	118	-13	-1.0	13	3753
119	-17	-1.0	17	3770	119	-17	-1.0	17	3770	119	-17	-1.0	17	3770	119	-17	-1.0	17	3770
120	-13	-1.0	13	3783	120	-13	-1.0	13	3783	120	-13	-1.0	13	3783	120	-13	-1.0	13	3783
121	-16	-1.0	16	3799	121	-16	-1.0	16	3799	121	-16	-1.0	16	3799	121	-16	-1.0	16	3799
122	-134	-3.8285714285714287	35	3834	122	-134	-3.8285714285714287	35	3834	122	-134	-3.8285714285714287	35	3834	122	-134	-3.8285714285714287	35	3834
123	-13	-1.0	13	3847	123	-13	-1.0	13	3847	123	-13	-1.0	13	3847	123	-13	-1.0	13	3847
124	-17	-1.0	17	3864	124	-17	-1.0	17	3864	124	-17	-1.0	17	3864	124	-17	-1.0	17	3864
125	-17	-1.0	17	3881	125	-17	-1.0	17	3881	125	-17	-1.0	17	3881	125	-17	-1.0	17	3881
126	-15	-1.0	15	3896	126	-15	-1.0	15	3896	126	-15	-1.0	15	3896	126	-15	-1.0	15	3896
127	-115	-7.1875	16	3912	127	-115	-7.1875	16	3912	127	-115	-7.1875	16	3912	127	-115	-7.1875	16	3912
128	-15	-1.0	15	3927	128	-15	-1.0	15	3927	128	-15	-1.0	15	3927	128	-15	-1.0	15	3927
129	-13	-1.0	13	3940	129	-13	-1.0	13	3940	129	-13	-1.0	13	3940	129	-13	-1.0	13	3940
130	-13	-1.0	13	3953	130	-13	-1.0	13	3953	130	-13	-1.0	13	3953	130	-13	-1.0	13	3953
131	-124	-4.96	25	3978	131	-124	-4.96	25	3978	131	-124	-4.96	25	3978	131	-124	-4.96	25	3978
132	-13	-1.0	13	3991	132	-13	-1.0	13	3991	132	-13	-1.0	13	3991	132	-13	-1.0	13	3991
133	-13	-1.0	13	4004	133	-13	-1.0	13	4004	133	-13	-1.0	13	4004	133	-13	-1.0	13	4004
134	-13	-1.0	13	4017	134	-13	-1.0	13	4017	134	-13	-1.0	13	4017	134	-13	-1.0	13	4017
135	-120	-5.714285714285714	21	4038	135	-120	-5.714285714285714	21	4038	135	-120	-5.714285714285714	21	4038	135	-120	-5.714285714285714	21	4038
136	-19	-1.0	19	4057	136	-19	-1.0	19	4057	136	-19	-1.0	19	4057	136	-19	-1.0	19	4057
137	-15	-1.0	15	4072	137	-15	-1.0	15	4072	137	-15	-1.0	15	4072	137	-15	-1.0	15	4072
138	-15	-1.0	15	4087	138	-15	-1.0	15	4087	138	-15	-1.0	15	4087	138	-15	-1.0	15	4087
139	-17	-1.0	17	4104	139	-17	-1.0	17	4104	139	-17	-1.0	17	4104	139	-17	-1.0	17	4104
140	-15	-1.0	15	4119	140	-15	-1.0	15	4119	140	-15	-1.0	15	4119	140	-15	-1.0	15	4119
141	-15	-1.0	15	4134	141	-15	-1.0	15	4134	141	-15	-1.0	15	4134	141	-15	-1.0	15	4134
142	-13	-1.0	13	4147	142	-13	-1.0	13	4147	142	-13	-1.0	13	4147	142	-13	-1.0	13	4147
143	-230	-7.1875	32	4179	143	-230	-7.1875	32	4179	143	-230	-7.1875	32	4179	143	-230	-7.1875	32	4179
144	-15	-1.0	15	4194	144	-15	-1.0	15	4194	144	-15	-1.0	15	4194	144	-15	-1.0	15	4194
145	-13	-1.0	13	4207	145	-13	-1.0	13	4207	145	-13	-1.0	13	4207	145	-13	-1.0	13	4207
146	-13	-1.0	13	4220	146	-13	-1.0	13	4220	146	-13	-1.0	13	4220	146	-13	-1.0	13	4220
147	-15	-1.0	15	4235	147	-15	-1.0	15	4235	147	-15	-1.0	15	4235	147	-15	-1.0	15	4235
148	-15	-1.0	15	4250	148	-15	-1.0	15	4250	148	-15	-1.0	15	4250	148	-15	-1.0	15	4250
149	-13	-1.0	13	4263	149	-13	-1.0	13	4263	149	-13	-1.0	13	4263	149	-13	-1.0	13	4263
150	-14	-1.0	14	4277	150	-14	-1.0	14	4277	150	-14	-1.0	14	4277	150	-14	-1.0	14	4277
151	-15	-1.0	15	4292	151	-15	-1.0	15	4292	151	-15	-1.0	15	4292	151	-15	-1.0	15	4292
152	-124	-4.96	25	4317	152	-124	-4.96	25	4317	152	-124	-4.96	25	4317	152	-124	-4.96	25	4317
153	-19	-1.0	19	4336	153	-19	-1.0	19	4336	153	-19	-1.0	19	4336	153	-19	-1.0	19	4336
154	-13	-1.0	13	4349	154	-13	-1.0	13	4349	154	-13	-1.0	13	4349	154	-13	-1.0	13	4349
155	-17	-1.0	17	4366	155	-17	-1.0	17	4366	155	-17	-1.0	17	4366	155	-17	-1.0	17	4366
156	-115	-7.1875	16	4382	156	-115	-7.1875	16	4382	156	-115	-7.1875	16	4382	156	-115	-7.1875	16	4382
157	-15	-1.0	15	4397	157	-15	-1.0	15	4397	157	-15	-1.0	15	4397	157	-15	-1.0	15	4397
158	-13	-1.0	13	4410	158	-13	-1.0	13	4410	158	-13	-1.0	13	4410	158	-13	-1.0	13	4410
159	-13	-1.0	13	4423	159	-13	-1.0	13	4423	159	-13	-1.0	13	4423	159	-13	-1.0	13	4423
160	-13	-1.0	13	4436	160	-13	-1.0	13	4436	160	-13	-1.0	13	4436	160	-13	-1.0	13	4436
161	-15	-1.0	15	4451	161	-15	-1.0	15	4451	161	-15	-1.0	15	4451	161	-15	-1.0	15	4451
162	-121	-5.5	22	4473	162	-121	-5.5	22	4473	162	-121	-5.5	22	4473	162	-121	-5.5	22	4473
163	-13	-1.0	13	4486	163	-13	-1.0	13	4486	163	-13	-1.0	13	4486	163	-13	-1.0	13	4486
164	-17	-1.0	17	4503	164	-17	-1.0	17	4503	164	-17	-1.0	17	4503	164	-17	-1.0	17	4503
165	-13	-1.0	13	4516	165	-13	-1.0	13	4516	165	-13	-1.0	13	4516	165	-13	-1.0	13	4516
166	-15	-1.0	15	4531	166	-15	-1.0	15	4531	166	-15	-1.0	15	4531	166	-15	-1.0	15	4531
167	-13	-1.0	13	4544	167	-13	-1.0	13	4544	167	-13	-1.0	13	4544	167	-13	-1.0	13	4544
168	-238	-5.95	40	4584	168	-238	-5.95	40	4584	168	-238	-5.95	40	4584	168	-238	-5.95	40	4584
169	-15	-1.0	15	4599	169	-15	-1.0	15	4599	169	-15	-1.0	15	4599	169	-15	-1.0	15	4599
170	-13	-1.0	13	4612	170	-13	-1.0	13	4612	170	-13	-1.0	13	4612	170	-13	-1.0	13	4612
171	-341	-7.75	44	4656	171	-341	-7.75	44	4656	171	-341	-7.75	44	4656	171	-341	-7.75	44	4656
172	-13	-1.0	13	4669	172	-13	-1.0	13	4669	172	-13	-1.0	13	4669	172	-13	-1.0	13	4669
173	-19	-1.0	19	4688	173	-19	-1.0	19	4688	173	-19	-1.0	19	4688	173	-19	-1.0	19	4688
174	-13	-1.0	13	4701	174	-13	-1.0	13	4701	174	-13	-1.0	13	4701	174	-13	-1.0	13	4701
175	-119	-5.95	20	4721	175	-119	-5.95	20	4721	175	-119	-5.95	20	4721	175	-119	-5.95	20	4721
176	-13	-1.0	13	4734	176	-13	-1.0	13	4734	176	-13	-1.0	13	4734	176	-13	-1.0	13	4734
177	-15	-1.0	15	4749	177	-15	-1.0	15	4749	177	-15	-1.0	15	4749	177	-15	-1.0	15	4749
178	-19	-1.0	19	4768	178	-19	-1.0	19	4768	178	-19	-1.0	19	4768	178	-19	-1.0	19	4768
179	-19	-1.0	19	4787	179	-19	-1.0	19	4787	179	-19	-1.0	19	4787	179	-19	-1.0	19	4787
180	-13	-1.0	13	4800	180	-13	-1.0	13	4800	180	-13	-1.0	13	4800	180	-13	-1.0	13	4800
181	-13	-1.0	13	4813	181	-13	-1.0	13	4813	181	-13	-1.0	13	4813	181	-13	-1.0	13	4813
182	-15	-1.0	15	4828	182	-15	-1.0	15	4828	182	-15	-1.0	15	4828	182	-15	-1.0	15	4828
183	-15	-1.0	15	4843	183	-15	-1.0	15	4843	183	-15	-1.0	15	4843	183	-15	-1.0	15	4843
184	-123	-5.125	24	4867	184	-123	-5.125	24	4867	184	-123	-5.125	24	4867	184	-123	-5.125	24	4867
185	-13	-1.0	13	4880	185	-13	-1.0	13	4880	185	-13	-1.0	13	4880	185	-13	-1.0	13	4880
186	-14	-1.0	14	4894	186	-14	-1.0	14	4894	186	-14	-1.0	14	4894	186	-14	-1.0	14	4894
187	-16	-1.0	16	4910	187	-16	-1.0	16	4910	187	-16	-1.0	16	4910	187	-16	-1.0	16	4910
188	-18	-1.0	18	4928	188	-18	-1.0	18	4928	188	-18	-1.0	18	4928	188	-18	-1.0	18	4928
189	-13	-1.0	13	4941	189	-13	-1.0	13	4941	189	-13	-1.0	13	4941	189	-13	-1.0	13	4941
190	-13	-1.0	13	4954	190	-13	-1.0	13	4954	190	-13	-1.0	13	4954	190	-13	-1.0	13	4954
191	-13	-1.0	13	4967	191	-13	-1.0	13	4967	191	-13	-1.0	13	4967	191	-13	-1.0	13	4967
192	-15	-1.0	15	4982	192	-15	-1.0	15	4982	192	-15	-1.0	15	4982	192	-15	-1.0	15	4982
193	-236	-6.2105263157894735	38	5020	193	-236	-6.2105263157894735	38	5020	193	-236	-6.2105263157894735	38	5020	193	-236	-6.2105263157894735	38	5020
194	-14	-1.0	14	5034	194	-14	-1.0	14	5034	194	-14	-1.0	14	5034	194	-14	-1.0	14	5034
195	-13	-1.0	13	5047	195	-13	-1.0	13	5047	195	-13	-1.0	13	5047	195	-13	-1.0	13	5047
196	-13	-1.0	13	5060	196	-13	-1.0	13	5060	196	-13	-1.0	13	5060	196	-13	-1.0	13	5060
197	-221	-9.608695652173912	23	5083	197	-221	-9.608695652173912	23	5083	197	-221	-9.608695652173912	23	5083	197	-221	-9.608695652173912	23	5083
198	-13	-1.0	13	5096	198	-13	-1.0	13	5096	198	-13	-1.0	13	5096	198	-13	-1.0	13	5096
199	-22	-1.0	22	5118	199	-22	-1.0	22	5118	199	-22	-1.0	22	5118	199	-22	-1.0	22	5118
