Episode	Accumulated Reward	Average Reward	Length	Steps
188	-113	-7.533333333333333	15	4174
189	-100	-50.0	2	4176
190	-120	-5.454545454545454	22	4198
191	-112	-8.0	14	4212
192	-101	-33.666666666666664	3	4215
193	-100	-50.0	2	4217
194	-101	-33.666666666666664	3	4220
195	-105	-15.0	7	4227
196	-100	-50.0	2	4229
197	-143	-3.1777777777777776	45	4274
198	-22	-0.88	25	4299
199	-203	-1.9333333333333333	105	4404
200	45	0.7627118644067796	59	4463
201	-100	-50.0	2	4465
202	-100	-50.0	2	4467
203	-108	-10.8	10	4477
204	-103	-20.6	5	4482
205	-28	-0.21212121212121213	132	4614
206	-100	-50.0	2	4616
207	-102	-25.5	4	4620
208	-119	-5.666666666666667	21	4641
209	-135	-3.6486486486486487	37	4678
210	-27	-0.9	30	4708
211	-100	-50.0	2	4710
212	-117	-6.157894736842105	19	4729
213	-156	-2.689655172413793	58	4787
214	-100	-50.0	2	4789
215	-141	-3.2790697674418605	43	4832
216	-135	-3.6486486486486487	37	4869
217	-100	-50.0	2	4871
218	-120	-5.454545454545454	22	4893
219	-100	-50.0	2	4895
220	-87	-0.9666666666666667	90	4985
221	-101	-33.666666666666664	3	4988
222	-135	-3.6486486486486487	37	5025
223	-144	-3.130434782608696	46	5071
224	-100	-50.0	2	5073
225	-100	-50.0	2	5075
226	30	0.40540540540540543	74	5149
227	-52	-0.9454545454545454	55	5204
228	-122	-5.083333333333333	24	5228
229	-134	-3.7222222222222223	36	5264
230	-100	-50.0	2	5266
231	-100	-50.0	2	5268
232	-152	-2.814814814814815	54	5322
233	-129	-4.161290322580645	31	5353
234	-120	-0.975609756097561	123	5476
235	-103	-0.9716981132075472	106	5582
236	-102	-25.5	4	5586
237	-103	-20.6	5	5591
238	-138	-3.45	40	5631
239	-106	-13.25	8	5639
240	-224	-1.7777777777777777	126	5765
241	-100	-50.0	2	5767
242	-108	-10.8	10	5777
243	-109	-9.909090909090908	11	5788
244	-102	-25.5	4	5792
245	-100	-50.0	2	5794
246	-118	-5.9	20	5814
247	-100	-50.0	2	5816
248	-100	-50.0	2	5818
249	-100	-50.0	2	5820
250	-100	-50.0	2	5822
251	-72	-0.96	75	5897
252	-211	-1.8672566371681416	113	6010
253	-215	-1.8376068376068375	117	6127
254	-102	-25.5	4	6131
255	-104	-17.333333333333332	6	6137
256	-151	-2.849056603773585	53	6190
257	-140	-3.3333333333333335	42	6232
258	-100	-50.0	2	6234
259	-218	-1.8166666666666667	120	6354
260	-100	-50.0	2	6356
261	-109	-9.909090909090908	11	6367
262	-100	-50.0	2	6369
263	-155	-2.719298245614035	57	6426
264	-100	-50.0	2	6428
265	-101	-33.666666666666664	3	6431
266	-122	-5.083333333333333	24	6455
267	-198	-1.98	100	6555
268	-116	-6.444444444444445	18	6573
269	-128	-4.266666666666667	30	6603
270	-100	-50.0	2	6605
271	-153	-2.7818181818181817	55	6660
272	-167	-2.420289855072464	69	6729
273	-144	-3.130434782608696	46	6775
274	-100	-50.0	2	6777
275	-100	-50.0	2	6779
276	-12	-0.8	15	6794
277	-100	-50.0	2	6796
278	-100	-50.0	2	6798
279	-119	-5.666666666666667	21	6819
280	-135	-3.6486486486486487	37	6856
281	-100	-50.0	2	6858
282	-119	-5.666666666666667	21	6879
283	-100	-50.0	2	6881
284	-100	-50.0	2	6883
285	-107	-11.88888888888889	9	6892
286	-167	-2.420289855072464	69	6961
287	-101	-33.666666666666664	3	6964
288	-100	-50.0	2	6966
289	-129	-4.161290322580645	31	6997
290	-100	-50.0	2	6999
291	-101	-33.666666666666664	3	7002
292	-101	-33.666666666666664	3	7005
293	-150	-2.8846153846153846	52	7057
294	-137	-3.5128205128205128	39	7096
295	-105	-15.0	7	7103
296	-111	-8.538461538461538	13	7116
297	-100	-50.0	2	7118
298	-162	-2.53125	64	7182
299	-214	-1.8448275862068966	116	7298
300	-100	-50.0	2	7300
301	-100	-50.0	2	7302
302	-100	-50.0	2	7304
303	-141	-3.2790697674418605	43	7347
304	-106	-13.25	8	7355
305	-138	-3.45	40	7395
306	-100	-50.0	2	7397
307	-188	-2.088888888888889	90	7487
308	-109	-9.909090909090908	11	7498
309	-102	-25.5	4	7502
310	-151	-2.849056603773585	53	7555
311	-105	-15.0	7	7562
312	-77	-0.9625	80	7642
313	-108	-10.8	10	7652
314	-138	-3.45	40	7692
315	-101	-33.666666666666664	3	7695
316	-100	-50.0	2	7697
317	-102	-25.5	4	7701
318	-100	-50.0	2	7703
319	-115	-6.764705882352941	17	7720
320	-100	-50.0	2	7722
321	-147	-3.0	49	7771
322	-100	-50.0	2	7773
323	-100	-50.0	2	7775
324	-137	-3.5128205128205128	39	7814
325	-175	-2.272727272727273	77	7891
326	-114	-7.125	16	7907
327	-157	-2.6610169491525424	59	7966
328	-120	-5.454545454545454	22	7988
329	-100	-50.0	2	7990
330	-147	-3.0	49	8039
331	-186	-2.1136363636363638	88	8127
332	-100	-50.0	2	8129
333	-113	-7.533333333333333	15	8144
334	-140	-3.3333333333333335	42	8186
335	-115	-6.764705882352941	17	8203
336	-104	-17.333333333333332	6	8209
337	-175	-2.272727272727273	77	8286
338	-108	-10.8	10	8296
339	-103	-20.6	5	8301
340	-100	-50.0	2	8303
341	-168	-2.4	70	8373
342	-26	-0.896551724137931	29	8402
343	-107	-11.88888888888889	9	8411
344	-100	-50.0	2	8413
345	-100	-50.0	2	8415
346	-100	-50.0	2	8417
347	-140	-3.3333333333333335	42	8459
348	-151	-2.849056603773585	53	8512
349	-139	-3.3902439024390243	41	8553
350	-103	-20.6	5	8558
351	-67	-0.9571428571428572	70	8628
352	-100	-50.0	2	8630
353	-153	-2.7818181818181817	55	8685
354	-83	-0.9651162790697675	86	8771
355	-101	-33.666666666666664	3	8774
356	-100	-50.0	2	8776
357	-127	-4.379310344827586	29	8805
358	-118	-5.9	20	8825
359	-134	-3.7222222222222223	36	8861
360	-100	-50.0	2	8863
361	-100	-50.0	2	8865
362	-58	-0.9508196721311475	61	8926
363	-148	-0.9801324503311258	151	9077
364	-33	-0.9166666666666666	36	9113
365	-111	-8.538461538461538	13	9126
366	-196	-2.0	98	9224
367	-102	-25.5	4	9228
368	-133	-3.8	35	9263
369	-75	-0.9615384615384616	78	9341
370	-234	-1.7205882352941178	136	9477
371	-57	-0.95	60	9537
372	-186	-2.1136363636363638	88	9625
373	-340	-1.4049586776859504	242	9867
374	-111	-8.538461538461538	13	9880
375	-108	-10.8	10	9890
376	-100	-50.0	2	9892
377	-135	-3.6486486486486487	37	9929
378	-100	-50.0	2	9931
379	-104	-17.333333333333332	6	9937
380	-62	-0.9538461538461539	65	10002
381	-195	-2.0103092783505154	97	10099
382	-123	-4.92	25	10124
383	-101	-33.666666666666664	3	10127
384	-126	-4.5	28	10155
385	-100	-50.0	2	10157
386	-101	-33.666666666666664	3	10160
387	-162	-2.53125	64	10224
388	-112	-8.0	14	10238
389	-110	-9.166666666666666	12	10250
390	-145	-3.0851063829787235	47	10297
391	-113	-7.533333333333333	15	10312
392	-133	-3.8	35	10347
393	-110	-9.166666666666666	12	10359
394	-44	-0.9361702127659575	47	10406
395	-214	-1.8448275862068966	116	10522
396	-113	-7.533333333333333	15	10537
397	-100	-50.0	2	10539
398	-100	-50.0	2	10541
399	-103	-20.6	5	10546
400	-100	-50.0	2	10548
401	-101	-33.666666666666664	3	10551
402	-105	-15.0	7	10558
403	-234	-1.7205882352941178	136	10694
404	-100	-50.0	2	10696
405	-112	-8.0	14	10710
406	-165	-2.462686567164179	67	10777
407	-137	-3.5128205128205128	39	10816
408	-175	-2.272727272727273	77	10893
409	-102	-25.5	4	10897
