Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218	13	-13	-1.0	13	218
14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243	14	-124	-4.96	25	243
15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262	15	-118	-6.2105263157894735	19	262
16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276	16	-113	-8.071428571428571	14	276
17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294	17	-117	-6.5	18	294
18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307	18	-13	-1.0	13	307
19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321	19	-14	-1.0	14	321
20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336	20	-15	-1.0	15	336
21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352	21	-16	-1.0	16	352
22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367	22	-15	-1.0	15	367
