Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890	53	-16	-1.0	16	890
54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933	54	-340	-7.906976744186046	43	933
55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948	55	-15	-1.0	15	948
56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965	56	-17	-1.0	17	965
57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978	57	-13	-1.0	13	978
58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997	58	-118	-6.2105263157894735	19	997
59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021	59	-123	-5.125	24	1021
60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037	60	-16	-1.0	16	1037
61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050	61	-13	-1.0	13	1050
62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063	62	-13	-1.0	13	1063
63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078	63	-15	-1.0	15	1078
64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091	64	-13	-1.0	13	1091
65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116	65	-124	-4.96	25	1116
66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149	66	-231	-7.0	33	1149
67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166	67	-17	-1.0	17	1166
68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194	68	-226	-8.071428571428571	28	1194
69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213	69	-19	-1.0	19	1213
70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226	70	-13	-1.0	13	1226
71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241	71	-15	-1.0	15	1241
72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259	72	-117	-6.5	18	1259
73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272	73	-13	-1.0	13	1272
74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289	74	-17	-1.0	17	1289
75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304	75	-15	-1.0	15	1304
76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319	76	-15	-1.0	15	1319
77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332	77	-13	-1.0	13	1332
78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345	78	-13	-1.0	13	1345
79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362	79	-17	-1.0	17	1362
80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384	80	-121	-5.5	22	1384
81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399	81	-15	-1.0	15	1399
82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412	82	-13	-1.0	13	1412
83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425	83	-13	-1.0	13	1425
84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440	84	-15	-1.0	15	1440
85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455	85	-15	-1.0	15	1455
86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476	86	-120	-5.714285714285714	21	1476
87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495	87	-19	-1.0	19	1495
88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529	88	-331	-9.735294117647058	34	1529
89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542	89	-13	-1.0	13	1542
90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561	90	-19	-1.0	19	1561
91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580	91	-217	-11.421052631578947	19	1580
92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614	92	-232	-6.823529411764706	34	1614
93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627	93	-13	-1.0	13	1627
94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649	94	-121	-5.5	22	1649
95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662	95	-13	-1.0	13	1662
96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675	96	-13	-1.0	13	1675
97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692	97	-17	-1.0	17	1692
98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707	98	-15	-1.0	15	1707
99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720	99	-13	-1.0	13	1720
100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737	100	-116	-6.823529411764706	17	1737
101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750	101	-13	-1.0	13	1750
102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767	102	-17	-1.0	17	1767
103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780	103	-13	-1.0	13	1780
104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793	104	-13	-1.0	13	1793
105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816	105	-122	-5.304347826086956	23	1816
106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829	106	-13	-1.0	13	1829
107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842	107	-13	-1.0	13	1842
108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858	108	-16	-1.0	16	1858
109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872	109	-14	-1.0	14	1872
110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889	110	-17	-1.0	17	1889
111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902	111	-13	-1.0	13	1902
112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915	112	-13	-1.0	13	1915
113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937	113	-121	-5.5	22	1937
114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964	114	-126	-4.666666666666667	27	1964
