Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
66	-130	-4.0625	32	922	66	-130	-4.0625	32	922	66	-130	-4.0625	32	922
67	-105	-15.0	7	929	67	-105	-15.0	7	929	67	-105	-15.0	7	929
68	-117	-6.157894736842105	19	948	68	-117	-6.157894736842105	19	948	68	-117	-6.157894736842105	19	948
69	-104	-17.333333333333332	6	954	69	-104	-17.333333333333332	6	954	69	-104	-17.333333333333332	6	954
70	-112	-8.0	14	968	70	-112	-8.0	14	968	70	-112	-8.0	14	968
71	-34	-0.918918918918919	37	1005	71	-34	-0.918918918918919	37	1005	71	-34	-0.918918918918919	37	1005
72	-101	-33.666666666666664	3	1008	72	-101	-33.666666666666664	3	1008	72	-101	-33.666666666666664	3	1008
73	-125	-4.62962962962963	27	1035	73	-125	-4.62962962962963	27	1035	73	-125	-4.62962962962963	27	1035
74	-106	-13.25	8	1043	74	-106	-13.25	8	1043	74	-106	-13.25	8	1043
75	-100	-50.0	2	1045	75	-100	-50.0	2	1045	75	-100	-50.0	2	1045
76	-133	-3.8	35	1080	76	-133	-3.8	35	1080	76	-133	-3.8	35	1080
77	-101	-33.666666666666664	3	1083	77	-101	-33.666666666666664	3	1083	77	-101	-33.666666666666664	3	1083
78	-100	-50.0	2	1085	78	-100	-50.0	2	1085	78	-100	-50.0	2	1085
79	-100	-50.0	2	1087	79	-100	-50.0	2	1087	79	-100	-50.0	2	1087
80	-100	-50.0	2	1089	80	-100	-50.0	2	1089	80	-100	-50.0	2	1089
81	-100	-50.0	2	1091	81	-100	-50.0	2	1091	81	-100	-50.0	2	1091
82	-176	-2.2564102564102564	78	1169	82	-176	-2.2564102564102564	78	1169	82	-176	-2.2564102564102564	78	1169
83	-101	-33.666666666666664	3	1172	83	-101	-33.666666666666664	3	1172	83	-101	-33.666666666666664	3	1172
84	-109	-9.909090909090908	11	1183	84	-109	-9.909090909090908	11	1183	84	-109	-9.909090909090908	11	1183
85	-100	-50.0	2	1185	85	-100	-50.0	2	1185	85	-100	-50.0	2	1185
86	-100	-50.0	2	1187	86	-100	-50.0	2	1187	86	-100	-50.0	2	1187
87	-100	-50.0	2	1189	87	-100	-50.0	2	1189	87	-100	-50.0	2	1189
88	-104	-17.333333333333332	6	1195	88	-104	-17.333333333333332	6	1195	88	-104	-17.333333333333332	6	1195
89	-162	-2.53125	64	1259	89	-162	-2.53125	64	1259	89	-162	-2.53125	64	1259
90	-48	-0.9411764705882353	51	1310	90	-48	-0.9411764705882353	51	1310	90	-48	-0.9411764705882353	51	1310
91	-111	-8.538461538461538	13	1323	91	-111	-8.538461538461538	13	1323	91	-111	-8.538461538461538	13	1323
92	-100	-50.0	2	1325	92	-100	-50.0	2	1325	92	-100	-50.0	2	1325
93	-168	-2.4	70	1395	93	-168	-2.4	70	1395	93	-168	-2.4	70	1395
94	-100	-50.0	2	1397	94	-100	-50.0	2	1397	94	-100	-50.0	2	1397
95	-100	-50.0	2	1399	95	-100	-50.0	2	1399	95	-100	-50.0	2	1399
96	-100	-50.0	2	1401	96	-100	-50.0	2	1401	96	-100	-50.0	2	1401
97	-100	-50.0	2	1403	97	-100	-50.0	2	1403	97	-100	-50.0	2	1403
98	-105	-15.0	7	1410	98	-105	-15.0	7	1410	98	-105	-15.0	7	1410
99	-151	-2.849056603773585	53	1463	99	-151	-2.849056603773585	53	1463	99	-151	-2.849056603773585	53	1463
100	-100	-50.0	2	1465	100	-100	-50.0	2	1465	100	-100	-50.0	2	1465
101	-100	-50.0	2	1467	101	-100	-50.0	2	1467	101	-100	-50.0	2	1467
102	-100	-50.0	2	1469	102	-100	-50.0	2	1469	102	-100	-50.0	2	1469
103	-100	-50.0	2	1471	103	-100	-50.0	2	1471	103	-100	-50.0	2	1471
104	-178	-2.225	80	1551	104	-178	-2.225	80	1551	104	-178	-2.225	80	1551
105	-111	-8.538461538461538	13	1564	105	-111	-8.538461538461538	13	1564	105	-111	-8.538461538461538	13	1564
106	-105	-15.0	7	1571	106	-105	-15.0	7	1571	106	-105	-15.0	7	1571
107	-181	-2.180722891566265	83	1654	107	-181	-2.180722891566265	83	1654	107	-181	-2.180722891566265	83	1654
108	-130	-4.0625	32	1686	108	-130	-4.0625	32	1686	108	-130	-4.0625	32	1686
109	-118	-5.9	20	1706	109	-118	-5.9	20	1706	109	-118	-5.9	20	1706
110	-104	-17.333333333333332	6	1712	110	-104	-17.333333333333332	6	1712	110	-104	-17.333333333333332	6	1712
111	-100	-50.0	2	1714	111	-100	-50.0	2	1714	111	-100	-50.0	2	1714
112	-101	-33.666666666666664	3	1717	112	-101	-33.666666666666664	3	1717	112	-101	-33.666666666666664	3	1717
113	-108	-10.8	10	1727	113	-108	-10.8	10	1727	113	-108	-10.8	10	1727
114	-164	-2.484848484848485	66	1793	114	-164	-2.484848484848485	66	1793	114	-164	-2.484848484848485	66	1793
115	-100	-50.0	2	1795	115	-100	-50.0	2	1795	115	-100	-50.0	2	1795
116	-100	-50.0	2	1797	116	-100	-50.0	2	1797	116	-100	-50.0	2	1797
117	-112	-8.0	14	1811	117	-112	-8.0	14	1811	117	-112	-8.0	14	1811
118	-138	-3.45	40	1851	118	-138	-3.45	40	1851	118	-138	-3.45	40	1851
119	-121	-5.260869565217392	23	1874	119	-121	-5.260869565217392	23	1874	119	-121	-5.260869565217392	23	1874
120	-100	-50.0	2	1876	120	-100	-50.0	2	1876	120	-100	-50.0	2	1876
121	-106	-13.25	8	1884	121	-106	-13.25	8	1884	121	-106	-13.25	8	1884
122	-101	-33.666666666666664	3	1887	122	-101	-33.666666666666664	3	1887	122	-101	-33.666666666666664	3	1887
123	-136	-3.5789473684210527	38	1925	123	-136	-3.5789473684210527	38	1925	123	-136	-3.5789473684210527	38	1925
124	-105	-15.0	7	1932	124	-105	-15.0	7	1932	124	-105	-15.0	7	1932
125	-100	-50.0	2	1934	125	-100	-50.0	2	1934	125	-100	-50.0	2	1934
126	-106	-13.25	8	1942	126	-106	-13.25	8	1942	126	-106	-13.25	8	1942
127	-100	-50.0	2	1944	127	-100	-50.0	2	1944	127	-100	-50.0	2	1944
128	-167	-2.420289855072464	69	2013	128	-167	-2.420289855072464	69	2013	128	-167	-2.420289855072464	69	2013
129	-119	-5.666666666666667	21	2034	129	-119	-5.666666666666667	21	2034	129	-119	-5.666666666666667	21	2034
130	-132	-3.8823529411764706	34	2068	130	-132	-3.8823529411764706	34	2068	130	-132	-3.8823529411764706	34	2068
131	-116	-6.444444444444445	18	2086	131	-116	-6.444444444444445	18	2086	131	-116	-6.444444444444445	18	2086
132	-101	-33.666666666666664	3	2089	132	-101	-33.666666666666664	3	2089	132	-101	-33.666666666666664	3	2089
133	-102	-25.5	4	2093	133	-102	-25.5	4	2093	133	-102	-25.5	4	2093
134	-100	-50.0	2	2095	134	-100	-50.0	2	2095	134	-100	-50.0	2	2095
135	-100	-50.0	2	2097	135	-100	-50.0	2	2097	135	-100	-50.0	2	2097
136	-111	-8.538461538461538	13	2110	136	-111	-8.538461538461538	13	2110	136	-111	-8.538461538461538	13	2110
137	-100	-50.0	2	2112	137	-100	-50.0	2	2112	137	-100	-50.0	2	2112
138	-139	-3.3902439024390243	41	2153	138	-139	-3.3902439024390243	41	2153	138	-139	-3.3902439024390243	41	2153
139	-108	-10.8	10	2163	139	-108	-10.8	10	2163	139	-108	-10.8	10	2163
140	-114	-7.125	16	2179	140	-114	-7.125	16	2179	140	-114	-7.125	16	2179
141	-101	-33.666666666666664	3	2182	141	-101	-33.666666666666664	3	2182	141	-101	-33.666666666666664	3	2182
142	-157	-2.6610169491525424	59	2241	142	-157	-2.6610169491525424	59	2241	142	-157	-2.6610169491525424	59	2241
143	-220	-1.8032786885245902	122	2363	143	-220	-1.8032786885245902	122	2363	143	-220	-1.8032786885245902	122	2363
144	-166	-2.4411764705882355	68	2431	144	-166	-2.4411764705882355	68	2431	144	-166	-2.4411764705882355	68	2431
145	-182	-2.1666666666666665	84	2515	145	-182	-2.1666666666666665	84	2515	145	-182	-2.1666666666666665	84	2515
146	-130	-4.0625	32	2547	146	-130	-4.0625	32	2547	146	-130	-4.0625	32	2547
147	-100	-50.0	2	2549	147	-100	-50.0	2	2549	147	-100	-50.0	2	2549
148	-105	-15.0	7	2556	148	-105	-15.0	7	2556	148	-105	-15.0	7	2556
149	-126	-4.5	28	2584	149	-126	-4.5	28	2584	149	-126	-4.5	28	2584
150	-134	-3.7222222222222223	36	2620	150	-134	-3.7222222222222223	36	2620	150	-134	-3.7222222222222223	36	2620
151	-100	-50.0	2	2622	151	-100	-50.0	2	2622	151	-100	-50.0	2	2622
152	-101	-33.666666666666664	3	2625	152	-101	-33.666666666666664	3	2625	152	-101	-33.666666666666664	3	2625
153	-116	-6.444444444444445	18	2643	153	-116	-6.444444444444445	18	2643	153	-116	-6.444444444444445	18	2643
154	-100	-50.0	2	2645	154	-100	-50.0	2	2645	154	-100	-50.0	2	2645
155	-115	-6.764705882352941	17	2662	155	-115	-6.764705882352941	17	2662	155	-115	-6.764705882352941	17	2662
156	-42	-0.9333333333333333	45	2707	156	-42	-0.9333333333333333	45	2707	156	-42	-0.9333333333333333	45	2707
157	-105	-15.0	7	2714	157	-105	-15.0	7	2714	157	-105	-15.0	7	2714
158	-137	-3.5128205128205128	39	2753	158	-137	-3.5128205128205128	39	2753	158	-137	-3.5128205128205128	39	2753
159	-100	-50.0	2	2755	159	-100	-50.0	2	2755	159	-100	-50.0	2	2755
160	-100	-50.0	2	2757	160	-100	-50.0	2	2757	160	-100	-50.0	2	2757
161	-100	-50.0	2	2759	161	-100	-50.0	2	2759	161	-100	-50.0	2	2759
162	-100	-50.0	2	2761	162	-100	-50.0	2	2761	162	-100	-50.0	2	2761
163	-106	-13.25	8	2769	163	-106	-13.25	8	2769	163	-106	-13.25	8	2769
164	-158	-2.6333333333333333	60	2829	164	-158	-2.6333333333333333	60	2829	164	-158	-2.6333333333333333	60	2829
165	-101	-33.666666666666664	3	2832	165	-101	-33.666666666666664	3	2832	165	-101	-33.666666666666664	3	2832
166	-131	-3.9696969696969697	33	2865	166	-131	-3.9696969696969697	33	2865	166	-131	-3.9696969696969697	33	2865
167	-100	-50.0	2	2867	167	-100	-50.0	2	2867	167	-100	-50.0	2	2867
168	-106	-13.25	8	2875	168	-106	-13.25	8	2875	168	-106	-13.25	8	2875
169	-100	-50.0	2	2877	169	-100	-50.0	2	2877	169	-100	-50.0	2	2877
170	-100	-50.0	2	2879	170	-100	-50.0	2	2879	170	-100	-50.0	2	2879
171	-281	-1.53551912568306	183	3062	171	-281	-1.53551912568306	183	3062	171	-281	-1.53551912568306	183	3062
172	-115	-6.764705882352941	17	3079	172	-115	-6.764705882352941	17	3079	172	-115	-6.764705882352941	17	3079
173	-155	-2.719298245614035	57	3136	173	-155	-2.719298245614035	57	3136	173	-155	-2.719298245614035	57	3136
174	-104	-17.333333333333332	6	3142	174	-104	-17.333333333333332	6	3142	174	-104	-17.333333333333332	6	3142
175	-117	-6.157894736842105	19	3161	175	-117	-6.157894736842105	19	3161	175	-117	-6.157894736842105	19	3161
