Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
48	-100	-50.0	2	851	48	-100	-50.0	2	851	48	-100	-50.0	2	851	48	-100	-50.0	2	851
49	-117	-6.157894736842105	19	870	49	-117	-6.157894736842105	19	870	49	-117	-6.157894736842105	19	870	49	-117	-6.157894736842105	19	870
50	-100	-50.0	2	872	50	-100	-50.0	2	872	50	-100	-50.0	2	872	50	-100	-50.0	2	872
51	-100	-50.0	2	874	51	-100	-50.0	2	874	51	-100	-50.0	2	874	51	-100	-50.0	2	874
52	-106	-13.25	8	882	52	-106	-13.25	8	882	52	-106	-13.25	8	882	52	-106	-13.25	8	882
53	-105	-15.0	7	889	53	-105	-15.0	7	889	53	-105	-15.0	7	889	53	-105	-15.0	7	889
54	-122	-5.083333333333333	24	913	54	-122	-5.083333333333333	24	913	54	-122	-5.083333333333333	24	913	54	-122	-5.083333333333333	24	913
55	-198	-1.98	100	1013	55	-198	-1.98	100	1013	55	-198	-1.98	100	1013	55	-198	-1.98	100	1013
56	-135	-3.6486486486486487	37	1050	56	-135	-3.6486486486486487	37	1050	56	-135	-3.6486486486486487	37	1050	56	-135	-3.6486486486486487	37	1050
57	-141	-3.2790697674418605	43	1093	57	-141	-3.2790697674418605	43	1093	57	-141	-3.2790697674418605	43	1093	57	-141	-3.2790697674418605	43	1093
58	-100	-50.0	2	1095	58	-100	-50.0	2	1095	58	-100	-50.0	2	1095	58	-100	-50.0	2	1095
59	-100	-50.0	2	1097	59	-100	-50.0	2	1097	59	-100	-50.0	2	1097	59	-100	-50.0	2	1097
60	-107	-11.88888888888889	9	1106	60	-107	-11.88888888888889	9	1106	60	-107	-11.88888888888889	9	1106	60	-107	-11.88888888888889	9	1106
61	-137	-3.5128205128205128	39	1145	61	-137	-3.5128205128205128	39	1145	61	-137	-3.5128205128205128	39	1145	61	-137	-3.5128205128205128	39	1145
62	-100	-50.0	2	1147	62	-100	-50.0	2	1147	62	-100	-50.0	2	1147	62	-100	-50.0	2	1147
63	-128	-4.266666666666667	30	1177	63	-128	-4.266666666666667	30	1177	63	-128	-4.266666666666667	30	1177	63	-128	-4.266666666666667	30	1177
64	-101	-33.666666666666664	3	1180	64	-101	-33.666666666666664	3	1180	64	-101	-33.666666666666664	3	1180	64	-101	-33.666666666666664	3	1180
65	-103	-20.6	5	1185	65	-103	-20.6	5	1185	65	-103	-20.6	5	1185	65	-103	-20.6	5	1185
66	-100	-50.0	2	1187	66	-100	-50.0	2	1187	66	-100	-50.0	2	1187	66	-100	-50.0	2	1187
67	-100	-50.0	2	1189	67	-100	-50.0	2	1189	67	-100	-50.0	2	1189	67	-100	-50.0	2	1189
68	-100	-50.0	2	1191	68	-100	-50.0	2	1191	68	-100	-50.0	2	1191	68	-100	-50.0	2	1191
69	-103	-20.6	5	1196	69	-103	-20.6	5	1196	69	-103	-20.6	5	1196	69	-103	-20.6	5	1196
70	-105	-15.0	7	1203	70	-105	-15.0	7	1203	70	-105	-15.0	7	1203	70	-105	-15.0	7	1203
71	-107	-11.88888888888889	9	1212	71	-107	-11.88888888888889	9	1212	71	-107	-11.88888888888889	9	1212	71	-107	-11.88888888888889	9	1212
72	-19	-0.8636363636363636	22	1234	72	-19	-0.8636363636363636	22	1234	72	-19	-0.8636363636363636	22	1234	72	-19	-0.8636363636363636	22	1234
73	-100	-50.0	2	1236	73	-100	-50.0	2	1236	73	-100	-50.0	2	1236	73	-100	-50.0	2	1236
74	-100	-50.0	2	1238	74	-100	-50.0	2	1238	74	-100	-50.0	2	1238	74	-100	-50.0	2	1238
75	-100	-50.0	2	1240	75	-100	-50.0	2	1240	75	-100	-50.0	2	1240	75	-100	-50.0	2	1240
76	-100	-50.0	2	1242	76	-100	-50.0	2	1242	76	-100	-50.0	2	1242	76	-100	-50.0	2	1242
77	-172	-2.324324324324324	74	1316	77	-172	-2.324324324324324	74	1316	77	-172	-2.324324324324324	74	1316	77	-172	-2.324324324324324	74	1316
78	-100	-50.0	2	1318	78	-100	-50.0	2	1318	78	-100	-50.0	2	1318	78	-100	-50.0	2	1318
79	-219	-1.8099173553719008	121	1439	79	-219	-1.8099173553719008	121	1439	79	-219	-1.8099173553719008	121	1439	79	-219	-1.8099173553719008	121	1439
80	-100	-50.0	2	1441	80	-100	-50.0	2	1441	80	-100	-50.0	2	1441	80	-100	-50.0	2	1441
81	-126	-4.5	28	1469	81	-126	-4.5	28	1469	81	-126	-4.5	28	1469	81	-126	-4.5	28	1469
