Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1644	-3.6052631578947367	456	456
1	-434	-1.8389830508474576	236	692
2	-51	-1.0	51	743
3	-128	-1.0	128	871
4	-67	-1.0	67	938
5	-52	-1.0	52	990
6	-36	-1.0	36	1026
7	-74	-1.0	74	1100
8	-54	-1.0	54	1154
9	-56	-1.0	56	1210
10	-73	-1.0	73	1283
11	-30	-1.0	30	1313
12	-29	-1.0	29	1342
13	-63	-1.0	63	1405
14	-47	-1.0	47	1452
15	-197	-2.010204081632653	98	1550
16	-182	-2.1927710843373496	83	1633
17	-61	-1.0	61	1694
18	-32	-1.0	32	1726
19	-28	-1.0	28	1754
20	-36	-1.0	36	1790
21	-28	-1.0	28	1818
22	-165	-2.5	66	1884
23	-32	-1.0	32	1916
24	-31	-1.0	31	1947
25	-30	-1.0	30	1977
26	-20	-1.0	20	1997
27	-129	-4.3	30	2027
28	-26	-1.0	26	2053
29	-46	-1.0	46	2099
30	-26	-1.0	26	2125
31	-22	-1.0	22	2147
32	-135	-3.75	36	2183
33	-14	-1.0	14	2197
34	-33	-1.0	33	2230
35	-21	-1.0	21	2251
36	-144	-3.2	45	2296
37	-19	-1.0	19	2315
38	-24	-1.0	24	2339
39	-29	-1.0	29	2368
40	-122	-5.304347826086956	23	2391
41	-22	-1.0	22	2413
42	-15	-1.0	15	2428
43	-30	-1.0	30	2458
44	-15	-1.0	15	2473
45	-18	-1.0	18	2491
46	-33	-1.0	33	2524
47	-28	-1.0	28	2552
48	-13	-1.0	13	2565
49	-15	-1.0	15	2580
50	-15	-1.0	15	2595
51	-24	-1.0	24	2619
52	-15	-1.0	15	2634
53	-15	-1.0	15	2649
54	-15	-1.0	15	2664
55	-113	-8.071428571428571	14	2678
56	-123	-5.125	24	2702
57	-20	-1.0	20	2722
58	-13	-1.0	13	2735
59	-127	-4.535714285714286	28	2763
60	-15	-1.0	15	2778
61	-15	-1.0	15	2793
62	-115	-7.1875	16	2809
63	-13	-1.0	13	2822
64	-115	-7.1875	16	2838
65	-115	-7.1875	16	2854
66	-117	-6.5	18	2872
67	-226	-8.071428571428571	28	2900
68	-13	-1.0	13	2913
69	-13	-1.0	13	2926
70	-13	-1.0	13	2939
71	-130	-4.193548387096774	31	2970
72	-18	-1.0	18	2988
73	-119	-5.95	20	3008
74	-17	-1.0	17	3025
75	-13	-1.0	13	3038
76	-31	-1.0	31	3069
77	-19	-1.0	19	3088
78	-13	-1.0	13	3101
79	-15	-1.0	15	3116
80	-13	-1.0	13	3129
81	-223	-8.92	25	3154
82	-19	-1.0	19	3173
83	-13	-1.0	13	3186
84	-13	-1.0	13	3199
85	-15	-1.0	15	3214
86	-13	-1.0	13	3227
87	-19	-1.0	19	3246
88	-13	-1.0	13	3259
89	-17	-1.0	17	3276
90	-15	-1.0	15	3291
91	-13	-1.0	13	3304
92	-13	-1.0	13	3317
93	-17	-1.0	17	3334
94	-117	-6.5	18	3352
95	-15	-1.0	15	3367
96	-16	-1.0	16	3383
97	-15	-1.0	15	3398
98	-13	-1.0	13	3411
99	-227	-7.827586206896552	29	3440
100	-13	-1.0	13	3453
101	-13	-1.0	13	3466
102	-15	-1.0	15	3481
103	-15	-1.0	15	3496
104	-17	-1.0	17	3513
105	-17	-1.0	17	3530
106	-17	-1.0	17	3547
107	-13	-1.0	13	3560
108	-16	-1.0	16	3576
109	-13	-1.0	13	3589
110	-17	-1.0	17	3606
111	-13	-1.0	13	3619
112	-114	-7.6	15	3634
113	-15	-1.0	15	3649
114	-13	-1.0	13	3662
115	-18	-1.0	18	3680
116	-15	-1.0	15	3695
