Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-100	-50.0	2	2	0	-100	-50.0	2	2
1	-100	-50.0	2	4	1	-100	-50.0	2	4
2	-103	-20.6	5	9	2	-103	-20.6	5	9
3	-100	-50.0	2	11	3	-100	-50.0	2	11
4	-176	-2.2564102564102564	78	89	4	-176	-2.2564102564102564	78	89
5	-157	-2.6610169491525424	59	148	5	-157	-2.6610169491525424	59	148
6	-100	-50.0	2	150	6	-100	-50.0	2	150
7	-100	-50.0	2	152	7	-100	-50.0	2	152
8	-158	-2.6333333333333333	60	212	8	-158	-2.6333333333333333	60	212
9	42	0.6774193548387096	62	274	9	42	0.6774193548387096	62	274
10	-200	-1.9607843137254901	102	376	10	-200	-1.9607843137254901	102	376
11	-184	-2.13953488372093	86	462	11	-184	-2.13953488372093	86	462
12	-188	-2.088888888888889	90	552	12	-188	-2.088888888888889	90	552
13	-115	-6.764705882352941	17	569	13	-115	-6.764705882352941	17	569
14	-109	-9.909090909090908	11	580	14	-109	-9.909090909090908	11	580
15	-100	-50.0	2	582	15	-100	-50.0	2	582
16	-114	-7.125	16	598	16	-114	-7.125	16	598
17	-35	-0.9210526315789473	38	636	17	-35	-0.9210526315789473	38	636
18	-131	-3.9696969696969697	33	669	18	-131	-3.9696969696969697	33	669
19	-114	-7.125	16	685	19	-114	-7.125	16	685
20	-125	-4.62962962962963	27	712	20	-125	-4.62962962962963	27	712
21	-120	-5.454545454545454	22	734	21	-120	-5.454545454545454	22	734
22	-146	-3.0416666666666665	48	782	22	-146	-3.0416666666666665	48	782
23	-112	-8.0	14	796	23	-112	-8.0	14	796
24	-100	-50.0	2	798	24	-100	-50.0	2	798
25	-100	-50.0	2	800	25	-100	-50.0	2	800
26	-101	-33.666666666666664	3	803	26	-101	-33.666666666666664	3	803
27	-100	-50.0	2	805	27	-100	-50.0	2	805
28	-100	-50.0	2	807	28	-100	-50.0	2	807
29	-109	-9.909090909090908	11	818	29	-109	-9.909090909090908	11	818
30	-146	-3.0416666666666665	48	866	30	-146	-3.0416666666666665	48	866
31	-100	-50.0	2	868	31	-100	-50.0	2	868
32	-140	-3.3333333333333335	42	910	32	-140	-3.3333333333333335	42	910
33	-148	-2.96	50	960	33	-148	-2.96	50	960
34	-119	-5.666666666666667	21	981	34	-119	-5.666666666666667	21	981
35	-100	-50.0	2	983	35	-100	-50.0	2	983
36	-100	-50.0	2	985	36	-100	-50.0	2	985
37	-164	-2.484848484848485	66	1051	37	-164	-2.484848484848485	66	1051
38	-155	-2.719298245614035	57	1108	38	-155	-2.719298245614035	57	1108
39	-106	-13.25	8	1116	39	-106	-13.25	8	1116
40	-157	-2.6610169491525424	59	1175	40	-157	-2.6610169491525424	59	1175
41	-144	-3.130434782608696	46	1221	41	-144	-3.130434782608696	46	1221
42	-103	-20.6	5	1226	42	-103	-20.6	5	1226
43	-114	-7.125	16	1242	43	-114	-7.125	16	1242
44	-100	-50.0	2	1244	44	-100	-50.0	2	1244
45	-158	-2.6333333333333333	60	1304	45	-158	-2.6333333333333333	60	1304
46	-101	-33.666666666666664	3	1307	46	-101	-33.666666666666664	3	1307
47	-100	-50.0	2	1309	47	-100	-50.0	2	1309
48	-115	-6.764705882352941	17	1326	48	-115	-6.764705882352941	17	1326
49	-104	-17.333333333333332	6	1332	49	-104	-17.333333333333332	6	1332
50	-100	-50.0	2	1334	50	-100	-50.0	2	1334
51	-135	-3.6486486486486487	37	1371	51	-135	-3.6486486486486487	37	1371
52	-100	-50.0	2	1373	52	-100	-50.0	2	1373
53	-100	-50.0	2	1375	53	-100	-50.0	2	1375
54	-125	-4.62962962962963	27	1402	54	-125	-4.62962962962963	27	1402
55	-108	-10.8	10	1412	55	-108	-10.8	10	1412
56	-102	-25.5	4	1416	56	-102	-25.5	4	1416
57	-139	-3.3902439024390243	41	1457	57	-139	-3.3902439024390243	41	1457
58	-106	-13.25	8	1465	58	-106	-13.25	8	1465
59	-100	-50.0	2	1467	59	-100	-50.0	2	1467
60	-127	-4.379310344827586	29	1496	60	-127	-4.379310344827586	29	1496
61	-121	-5.260869565217392	23	1519	61	-121	-5.260869565217392	23	1519
62	-102	-25.5	4	1523	62	-102	-25.5	4	1523
63	-142	-3.227272727272727	44	1567	63	-142	-3.227272727272727	44	1567
64	-100	-50.0	2	1569	64	-100	-50.0	2	1569
65	-100	-50.0	2	1571	65	-100	-50.0	2	1571
66	-100	-50.0	2	1573	66	-100	-50.0	2	1573
67	-100	-50.0	2	1575	67	-100	-50.0	2	1575
68	-102	-25.5	4	1579	68	-102	-25.5	4	1579
69	-100	-50.0	2	1581	69	-100	-50.0	2	1581
70	-104	-17.333333333333332	6	1587	70	-104	-17.333333333333332	6	1587
71	-161	-2.5555555555555554	63	1650	71	-161	-2.5555555555555554	63	1650
72	-120	-5.454545454545454	22	1672	72	-120	-5.454545454545454	22	1672
73	-106	-13.25	8	1680	73	-106	-13.25	8	1680
74	-100	-50.0	2	1682	74	-100	-50.0	2	1682
75	-100	-50.0	2	1684	75	-100	-50.0	2	1684
76	-101	-33.666666666666664	3	1687	76	-101	-33.666666666666664	3	1687
77	-164	-2.484848484848485	66	1753	77	-164	-2.484848484848485	66	1753
78	-148	-2.96	50	1803	78	-148	-2.96	50	1803
79	-101	-33.666666666666664	3	1806	79	-101	-33.666666666666664	3	1806
80	-111	-8.538461538461538	13	1819	80	-111	-8.538461538461538	13	1819
81	-118	-5.9	20	1839	81	-118	-5.9	20	1839
82	-100	-50.0	2	1841	82	-100	-50.0	2	1841
83	-101	-33.666666666666664	3	1844	83	-101	-33.666666666666664	3	1844
84	-105	-15.0	7	1851	84	-105	-15.0	7	1851
85	-146	-3.0416666666666665	48	1899	85	-146	-3.0416666666666665	48	1899
86	-100	-50.0	2	1901	86	-100	-50.0	2	1901
87	-289	-1.513089005235602	191	2092	87	-289	-1.513089005235602	191	2092
88	-106	-13.25	8	2100	88	-106	-13.25	8	2100
89	-101	-33.666666666666664	3	2103	89	-101	-33.666666666666664	3	2103
90	-100	-50.0	2	2105	90	-100	-50.0	2	2105
91	-100	-50.0	2	2107	91	-100	-50.0	2	2107
92	-105	-15.0	7	2114	92	-105	-15.0	7	2114
93	-100	-50.0	2	2116	93	-100	-50.0	2	2116
94	-6	-0.6666666666666666	9	2125	94	-6	-0.6666666666666666	9	2125
95	-114	-7.125	16	2141	95	-114	-7.125	16	2141
96	-26	-0.896551724137931	29	2170	96	-26	-0.896551724137931	29	2170
97	-126	-4.5	28	2198	97	-126	-4.5	28	2198
98	-100	-50.0	2	2200	98	-100	-50.0	2	2200
99	-100	-50.0	2	2202	99	-100	-50.0	2	2202
100	-122	-5.083333333333333	24	2226	100	-122	-5.083333333333333	24	2226
101	-153	-2.7818181818181817	55	2281	101	-153	-2.7818181818181817	55	2281
102	-168	-2.4	70	2351	102	-168	-2.4	70	2351
103	-100	-50.0	2	2353	103	-100	-50.0	2	2353
104	-212	-1.8596491228070176	114	2467	104	-212	-1.8596491228070176	114	2467
105	-136	-3.5789473684210527	38	2505	105	-136	-3.5789473684210527	38	2505
106	-100	-50.0	2	2507	106	-100	-50.0	2	2507
107	-273	-1.56	175	2682	107	-273	-1.56	175	2682
108	-113	-7.533333333333333	15	2697	108	-113	-7.533333333333333	15	2697
109	-100	-50.0	2	2699	109	-100	-50.0	2	2699
110	-108	-10.8	10	2709	110	-108	-10.8	10	2709
111	-140	-3.3333333333333335	42	2751	111	-140	-3.3333333333333335	42	2751
112	-104	-17.333333333333332	6	2757	112	-104	-17.333333333333332	6	2757
113	-112	-8.0	14	2771	113	-112	-8.0	14	2771
114	-100	-50.0	2	2773	114	-100	-50.0	2	2773
115	-100	-50.0	2	2775	115	-100	-50.0	2	2775
116	-116	-6.444444444444445	18	2793	116	-116	-6.444444444444445	18	2793
117	-100	-50.0	2	2795	117	-100	-50.0	2	2795
118	-117	-6.157894736842105	19	2814	118	-117	-6.157894736842105	19	2814
119	-100	-50.0	2	2816	119	-100	-50.0	2	2816
120	-101	-33.666666666666664	3	2819	120	-101	-33.666666666666664	3	2819
121	-10	-0.7692307692307693	13	2832	121	-10	-0.7692307692307693	13	2832
122	-102	-25.5	4	2836	122	-102	-25.5	4	2836
123	-229	-1.748091603053435	131	2967	123	-229	-1.748091603053435	131	2967
124	-100	-50.0	2	2969	124	-100	-50.0	2	2969
125	-108	-10.8	10	2979	125	-108	-10.8	10	2979
126	-100	-50.0	2	2981	126	-100	-50.0	2	2981
127	-100	-50.0	2	2983	127	-100	-50.0	2	2983
128	-112	-8.0	14	2997	128	-112	-8.0	14	2997
129	-104	-17.333333333333332	6	3003	129	-104	-17.333333333333332	6	3003
130	-137	-3.5128205128205128	39	3042	130	-137	-3.5128205128205128	39	3042
131	-145	-3.0851063829787235	47	3089	131	-145	-3.0851063829787235	47	3089
132	-121	-5.260869565217392	23	3112	132	-121	-5.260869565217392	23	3112
133	-108	-10.8	10	3122	133	-108	-10.8	10	3122
134	-100	-50.0	2	3124	134	-100	-50.0	2	3124
135	-100	-50.0	2	3126	135	-100	-50.0	2	3126
136	-100	-50.0	2	3128	136	-100	-50.0	2	3128
137	-101	-33.666666666666664	3	3131	137	-101	-33.666666666666664	3	3131
138	-101	-33.666666666666664	3	3134	138	-101	-33.666666666666664	3	3134
139	-108	-10.8	10	3144	139	-108	-10.8	10	3144
140	-100	-50.0	2	3146	140	-100	-50.0	2	3146
141	-100	-50.0	2	3148	141	-100	-50.0	2	3148
142	-100	-50.0	2	3150	142	-100	-50.0	2	3150
143	-100	-50.0	2	3152	143	-100	-50.0	2	3152
144	-103	-20.6	5	3157	144	-103	-20.6	5	3157
145	-100	-50.0	2	3159	145	-100	-50.0	2	3159
146	-114	-7.125	16	3175	146	-114	-7.125	16	3175
147	-104	-17.333333333333332	6	3181	147	-104	-17.333333333333332	6	3181
148	-100	-50.0	2	3183	148	-100	-50.0	2	3183
149	-101	-33.666666666666664	3	3186	149	-101	-33.666666666666664	3	3186
150	-32	-0.23529411764705882	136	3322	150	-32	-0.23529411764705882	136	3322
151	-177	-2.240506329113924	79	3401	151	-177	-2.240506329113924	79	3401
152	-146	-3.0416666666666665	48	3449	152	-146	-3.0416666666666665	48	3449
153	-123	-4.92	25	3474	153	-123	-4.92	25	3474
154	-103	-20.6	5	3479	154	-103	-20.6	5	3479
155	-19	-0.15447154471544716	123	3602	155	-19	-0.15447154471544716	123	3602
156	-100	-50.0	2	3604	156	-100	-50.0	2	3604
157	-133	-3.8	35	3639	157	-133	-3.8	35	3639
158	-104	-17.333333333333332	6	3645	158	-104	-17.333333333333332	6	3645
159	-136	-3.5789473684210527	38	3683	159	-136	-3.5789473684210527	38	3683
160	-177	-2.240506329113924	79	3762	160	-177	-2.240506329113924	79	3762
161	-115	-6.764705882352941	17	3779	161	-115	-6.764705882352941	17	3779
162	-101	-33.666666666666664	3	3782	162	-101	-33.666666666666664	3	3782
163	-100	-50.0	2	3784	163	-100	-50.0	2	3784
164	-100	-50.0	2	3786	164	-100	-50.0	2	3786
165	-102	-25.5	4	3790	165	-102	-25.5	4	3790
166	-114	-7.125	16	3806	166	-114	-7.125	16	3806
167	-167	-2.420289855072464	69	3875	167	-167	-2.420289855072464	69	3875
168	-129	-4.161290322580645	31	3906	168	-129	-4.161290322580645	31	3906
169	-100	-50.0	2	3908	169	-100	-50.0	2	3908
170	-189	-2.076923076923077	91	3999	170	-189	-2.076923076923077	91	3999
171	-101	-33.666666666666664	3	4002	171	-101	-33.666666666666664	3	4002
172	-56	-0.9491525423728814	59	4061	172	-56	-0.9491525423728814	59	4061
173	-113	-7.533333333333333	15	4076	173	-113	-7.533333333333333	15	4076
174	-107	-11.88888888888889	9	4085	174	-107	-11.88888888888889	9	4085
175	-162	-2.53125	64	4149	175	-162	-2.53125	64	4149
176	-100	-50.0	2	4151	176	-100	-50.0	2	4151
177	-138	-3.45	40	4191	177	-138	-3.45	40	4191
178	-100	-50.0	2	4193	178	-100	-50.0	2	4193
